"zone","wind_speed","wind_dir","temp","rh","dewpoint","pressure","radiation","soil"
"Zeelim_23.9.19_0800_E",1.47,32.02,31.16,43.34,17.37,1043.438,525.07,36.3
"Zeelim_23.9.19_0800_W",1.47,32.02,31.16,43.34,17.37,1043.438,525.07,36.3
"Zeelim_23.9.19_0950_E",1.333,22.73,32.74,40.72,17.81,1043.226,828.85,46.45
"Zeelim_23.9.19_0950_W",1.333,22.73,32.74,40.72,17.81,1043.226,828.85,46.45
"Zeelim_23.9.19_1100_E",1.633,27.26,33.7,36.46,16.94,1042.354,906.46,49.88
"Zeelim_23.9.19_1100_W",1.633,27.26,33.7,36.46,16.94,1042.354,906.46,49.88
"Zeelim_23.9.19_1410_E",2.19,38.5,36.44,27.03,14.79,1039.992,632.62,48.2
"Zeelim_23.9.19_1410_W",2.19,38.5,36.44,27.03,14.79,1039.992,632.62,48.2
"Zeelim_23.9.19_1510_E",1.733,8.19,36.52,27.42,15.01,1039.802,420.88,45.21
"Zeelim_23.9.19_1510_W",1.733,8.19,36.52,27.42,15.01,1039.802,420.88,45.21
"Zeelim_23.9.19_1610_E",1.522,349.9,36.98,25,14.07,1039.7,208.67,40.85
"Zeelim_23.9.19_1610_W",1.522,349.9,36.98,25,14.07,1039.7,208.67,40.85
"Zeelim_23.9.19_1700_E",3.355,333.3,35.88,25,13.19,1039.797,39.33,34.98
"Zeelim_23.9.19_1700_W",3.355,333.3,35.88,25,13.19,1039.797,39.33,34.98
"Zeelim_23.9.19_1730_E",4.305,321.2,34.75,29,14.32,1039.921,11.23,33.09
"Zeelim_23.9.19_1730_W",4.305,321.2,34.75,29,14.32,1039.921,11.23,33.09
"Zeelim_29.5.19_0830_E",2.348,36.07,29.95,48.29,17.99,1041.111,702.16,38.84
"Zeelim_29.5.19_0830_W",2.348,36.07,29.95,48.29,17.99,1041.111,702.16,38.84
"Zeelim_29.5.19_1650_E",1.154,77.3,40.94,24.97,17.18,1034.4,257.62,45.63
"Zeelim_29.5.19_1650_W",1.154,77.3,40.94,24.97,17.18,1034.4,257.62,45.63
"Zeelim_29.5.19_1730_E",1.39,60.33,39.68,25.09,16.32,1034.446,126.86,41.62
"Zeelim_29.5.19_1730_W",1.39,60.33,39.68,25.09,16.32,1034.446,126.86,41.62
"Zeelim_30.1.20_0700_E",3.481,275.9,15.07,60.39,7.503,1054.46,35.93,12.05
"Zeelim_30.1.20_0700_W",3.481,275.9,15.07,60.39,7.503,1054.46,35.93,12.05
"Zeelim_30.1.20_0810_E",3.371,277,16.16,55.62,7.398,1054.547,245.91,15.36
