,Zone,Flight,Station_ME,ERA5_ME,Station_MAE,ERA5_MAE
92,Des,Zeelim_31.05.21_1140_2,1.567656687419662,-8.652038186874012,2.8153561542176466,8.652038186874012
93,Des,Zeelim_29.5.19_1730_3,-0.9316814029288092,-5.57012745048884,1.6862926146556088,5.588105852135197
94,Des,Mishmar_30.7.19_0500_4,-4.7940166778415305,-7.013370527622263,4.794802254514619,7.013370527622263
95,Med,Alona_13.12.20_0840_3,3.3064735576412083,3.3277112245915386,3.3084142285409355,3.3294860436652867
96,Med,Alona_25.11.19_0750_4,0.7210030723710967,-2.612108604061097,1.0159288741115615,2.6121988082440195
97,Des,Zeelim_30.1.20_0950_4,2.856492362607185,-7.603294135496348,2.8783760899861637,7.603294135496348
98,Med,Alona_26.2.20_1250_1,0.6422845696366919,1.2273812665444546,1.9317699871853478,1.931936319573014
99,Med,Alona_5.6.19_1230_3,-6.027343890783363,-8.157467711106662,7.2486339702937,8.427024239609581
100,Des,Zeelim_31.05.21_1805_1,-1.6696198104461497,-0.9673770037889491,3.479293663979809,1.2084117819813012
101,Des,Mishmar_30.7.19_0740_5,1.7034188282898852,-6.712756425412922,2.2766434425011752,6.712758941346519
102,Des,Mishmar_3.3.20_1210_4,1.4248777844907683,-5.409716105683109,1.5432292053636831,5.464354796632106
103,Des,Zeelim_7.11.19_1100_2,1.1685410010268438,-8.84613424853609,1.7883171569707852,8.846472043305253
104,Med,Alona_13.12.20_0925_3,7.6523950380999946,7.237257431309614,7.652926615563891,7.2378252450012575
105,Med,Alona_2.7.19_1100_4,-0.8510961189236224,-12.348616520019775,3.5633300527171756,12.34995131141038
106,Med,Alona_12.9.19_1440_3,-0.8609621181949465,-1.6857405075474128,4.519309080999098,4.15775879592898
107,Med,Alona_12.9.19_1440_2,0.5546997355163804,-0.46940056226322285,4.176659586032161,3.454298951731067
108,Des,Mishmar_30.7.19_0640_1,2.1683039353393507,-10.372504359412565,2.218731436414663,10.372504359412565
109,Med,Alona_2.7.19_1100_5,-1.349635251817896,-15.096311854183122,3.0135227910734295,15.097052297506156
110,Med,Alona_13.12.20_0925_2,6.062143265229795,6.351943920834154,6.062143265229795,6.352275427579898
111,Des,Zeelim_7.11.19_1100_3,0.5627311942058933,-9.259631612050287,1.2875245480030644,9.259642525748891
112,Des,Mishmar_3.3.20_1210_5,2.326449013237659,-4.651614430963051,2.711869568955214,4.770578369700321
113,Des,Zeelim_31.05.21_1516_1,2.1685815534695587,-5.532237275787882,2.864112232125089,5.532543185446545
114,Des,Mishmar_30.7.19_0740_4,3.6944872688770483,-5.038243129372028,3.7104313021548596,5.038243129372028
115,Med,Alona_3.7.19_1750_1,2.7208919776469056,2.9032646878486768,2.870890510123263,2.9760816366394796
