zone,wind_speed,wind_dir,air_temp,rh,dewpoint,pressure,radiation,ground_temp,eBee,station.x,station.y,station - IR
Zeelim_30.1.20_0920,0.957,116.8,18.54,52.86,8.86,1054.73,461.96,20.66,17.45,724007.287,3470881.988,3.210000000000001
Zeelim_30.1.20_0950,1.231,111.3,19.71,49.54,8.97,1054.7,538.12,22.93,19.96,724723.26,3470998.85,2.969999999999999
Zeelim_30.1.20_1050,1.09,88.1,19.92,48.68,8.92,1054.1,645.2,28.11,27.51,724723.26,3470998.85,0.5999999999999979
Zeelim_30.1.20_1200,1.255,61.14,20.48,46.85,8.87,1052.716,695.93,30.62,27.81,724007.897,3470881.939,2.8100000000000023
Zeelim_30.1.20_1300,1.747,85.2,21.01,44.8,8.68,1051.555,662.33,30.41,28.51,724007.897,3470881.939,1.8999999999999986
Zeelim_30.1.20_1350,1.467,51.88,21.45,44.1,8.89,1050.885,580.29,30.59,26.25,724007.897,3470881.939,4.34
Zeelim_30.1.20_1449,0.909,50.8,21.96,42.21,8.65,1050.499,444.78,28.78,22.94,724853.13,3470752.91,5.84
Zeelim_30.1.20_1523,1.041,62.71,22.26,40.36,8.28,1050.3,316.36,26.34,22.78,724008.044,3470879.629,3.5599999999999987
Zeelim_30.5.19_0600,1.884,354.9,30.22,35.97,13.61,1039.291,178.46,30.02,28.56,723946.36,3470977.1,1.4600000000000009
Zeelim_30.5.19_0630,1.217,34.73,30.73,35.2,13.8,1039.359,283.95,32.04,32.49768829,723993.9814,3470912.19,0.4576882900000001
Zeelim_31.05.21_0611,0.94,146.2,28.35,47.26,16.23,1040.9,208.78,26.77,23.75,723978.12,3470955.247,3.0199999999999996
Zeelim_31.05.21_0707,1.149,151.1,29.16,46.53,16.66,1040.9,391.63,32.5,29.74,723978.12,3470955.247,2.7600000000000016
Zeelim_31.05.21_0819,1.388,151.4,31.42,40.57,16.57,1040.511,675.31,41.77,37.13,723978.12,3470955.247,4.640000000000001
Zeelim_31.05.21_0924,1.353,172.1,32.86,37.33,16.58,1040.126,829.15,47.48,43.51,723978.12,3470955.247,3.969999999999999
Zeelim_31.05.21_1033,1.569,132.4,34.48,31.87,15.54,1039.312,951.5,52.36,47.68,723978.12,3470955.247,4.68
Zeelim_31.05.21_1140,1.856,109.9,36.34,26.79,14.47,1038.335,986.88,55.09,51.34,723978.12,3470955.247,3.75
Zeelim_31.05.21_1516,2.874,24.21,37.4,28.86,16.52,1036.137,598.07,48.35,43.92,723978.12,3470955.247,4.43
Zeelim_31.05.21_1712,3.626,252.4,39.77,17.29,10.88,1036.672,175.82,40.34,35.85,723978.12,3470955.247,4.490000000000002
Zeelim_31.05.21_1805,2.456,353.6,38.85,18.0,10.51,1037.104,56.06,36.71,31.95,723978.12,3470955.247,4.760000000000002
Zeelim_7.11.19_1030,2.4,32.8,30.74,26.79,9.65,1043.478,623.93,34.38,35.82164383,724025.5796,3470888.538,1.4416438299999967
Zeelim_7.11.19_1100,2.073,26.41,31.26,26.0,9.62,1042.973,645.54,35.76,37.63896561,724025.5796,3470888.538,1.8789656100000016
Zeelim_7.11.19_1310,2.137,9.69,33.45,22.03,9.34,1040.822,541.19,37.31,38.22399902,724025.5796,3470888.538,0.9139990199999986
Zeelim_7.11.19_1550,1.144,15.74,31.99,27.94,11.4,1040.02,64.43,30.0,31.00594521,724025.5796,3470888.538,1.0059452100000001
Zeelim_7.11.19_1640,0.839,199.2,31.32,28.0,10.9,1039.729,15.25,27.74,27.16370201,724025.5796,3470888.538,0.5762979899999969
